source_doc,senator_flag,senator_name,raw office,funding_year,fiscal_year,congress_number,reference_page,document_number,date_posted,start_date,end_date,description,salary_flag,amount,payee
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,339,V21400002514,1/17/14,10/26/13,11/22/13,TECHNICAL SUPPORT,0,"$ 435,120.79",GENERAL DYNAMICS INFORMATION TECH INC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,339,V21400002519,1/17/14,10/26/13,11/22/13,TECHNICAL SUPPORT,0,"$ 28,704.00",GENERAL DYNAMICS INFORMATION TECH INC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,339,V21400002551,1/17/14,10/1/13,12/31/13,TECHNICAL SUPPORT,0,"$ 32,000.00",BERMAN DATABASE SYSTEMS INC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,339,V21400002552,1/17/14,10/26/13,11/22/13,TECHNICAL SUPPORT,0,"$ 31,082.85",GENERAL DYNAMICS INFORMATION TECH INC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,339,V21400002562,1/17/14,10/26/13,11/22/13,TECHNICAL SUPPORT,0,"$ 116,717.58",GENERAL DYNAMICS INFORMATION TECH INC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,339,V21400002563,1/17/14,11/23/13,12/27/13,TECHNICAL SUPPORT,0,"$ 24,563.08",GENERAL DYNAMICS INFORMATION TECH INC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,339,V21400002564,1/17/14,11/23/13,12/27/13,TECHNICAL SUPPORT,0,"$ 59,322.00",GENERAL DYNAMICS INFORMATION TECH INC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,339,V21400002566,1/17/14,11/23/13,12/27/13,TECHNICAL SUPPORT,0,"$ 123,877.00",GENERAL DYNAMICS INFORMATION TECH INC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,339,V21400002567,1/17/14,11/23/13,12/27/13,TECHNICAL SUPPORT,0,"$ 116,717.58",GENERAL DYNAMICS INFORMATION TECH INC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,339,V21400002568,1/17/14,11/23/13,12/27/13,TECHNICAL SUPPORT,0,"$ 435,120.79",GENERAL DYNAMICS INFORMATION TECH INC
113_sdoc22,0,,SGT @ ARMS - STAFF OFFICES Funding Year 1317 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1317,,,325,V21400002735,1/23/14,12/1/13,12/31/13,TECHNICAL SUPPORT,0,"$ 3,977.06",LIFECARE INC
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1317 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1317,,,327,V21400002533,1/23/14,9/1/13,9/28/13,TECHNICAL SUPPORT,0,"$ 2,194.17",DELOITTE CONSULTING LLP
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,339,V21400002534,1/23/14,10/1/13,10/25/13,TECHNICAL SUPPORT,0,"$ 31,082.85",GENERAL DYNAMICS INFORMATION TECH INC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1317 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1317,,,314,V21400002569,1/27/14,7/25/13,7/25/13,TECHNICAL SUPPORT,0,"$ 11,250.00",COMPUTERWORKS INC
113_sdoc22,0,,SGT @ ARMS - CAPITOL DIVISION Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,336,V21400002781,1/28/14,12/1/13,12/31/13,TECHNICAL SUPPORT,0,"$ 62,080.58",SRA INTERNATIONAL INC
113_sdoc22,0,,SGT @ ARMS - CAPITOL DIVISION Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,336,V21400002952,1/28/14,12/1/13,12/31/13,TECHNICAL SUPPORT,0,$ 96.50,SRA INTERNATIONAL INC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1014 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1014,,,279,V21400002882,1/29/14,11/1/13,11/30/13,TECHNICAL SUPPORT,0,$ 300.00,BANNISTER LAKE SOFTWARE INC
113_sdoc22,0,,SGT @ ARMS - IT SUPPORT SERVICES Funding Year 1014 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1014,,,279,V21400002883,1/29/14,12/1/13,12/31/13,TECHNICAL SUPPORT,0,$ 300.00,BANNISTER LAKE SOFTWARE INC
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1317 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1317,,,327,V21400002716,1/29/14,11/1/13,11/19/13,TECHNICAL SUPPORT,0,"$ 22,692.00",EMC CORPORATION
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1317 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1317,,,327,V21400002931,1/29/14,11/1/13,12/8/13,TECHNICAL SUPPORT,0,"$ 454,637.00",BART AND ASSOCIATES INC
113_sdoc22,0,,SGT @ ARMS - CAPITOL DIVISION Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,336,V21400002953,1/29/14,12/1/13,12/31/13,TECHNICAL SUPPORT,0,"$ 31,836.83",SRA INTERNATIONAL INC
113_sdoc22,0,,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES Funding Year 1418 SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,1418,,,349,V21400002711,1/29/14,12/1/13,12/31/13,TECHNICAL SUPPORT,0,"$ 17,000.00",GRANICUS INC
